Date;nnav;ttav;ffav;wwav
28.11.2016;1;2,875;11;NULL
29.11.2016;3;3;9;10
30.11.2016;7;6,25;12;61
01.12.2016;8;8,5;19;61
02.12.2016;0;3,625;8;0
03.12.2016;4;-0,75;6;49
04.12.2016;8;4,125;6;NULL
05.12.2016;7;3;7;NULL
06.12.2016;7;6,25;5;61
07.12.2016;7;4,5;10;61
08.12.2016;8;8,625;12;10
09.12.2016;7;8,875;13;20
10.12.2016;7;9,5;10;61
12.12.2016;7;4,875;4;61
13.12.2016;7;6,285714;5;10
14.12.2016;7;4,625;6;45
15.12.2016;7;0;8;49
16.12.2016;8;-1;5;10
17.12.2016;8;2,125;6;10
18.12.2016;7;7;8;0
19.12.2016;8;5,75;4;0
20.12.2016;8;1,5;7;10
21.12.2016;6;3,625;10;10
22.12.2016;7;5,25;8;61
23.12.2016;7;6,375;9;10
24.12.2016;6;6,125;14;95
25.12.2016;7;9,375;16;61
26.12.2016;4;6,875;25;22
27.12.2016;6;8,25;21;NULL
28.12.2016;4;7,125;12;0
29.12.2016;3;3,75;11;10
30.12.2016;4;1,75;10;10
31.12.2016;7;4,875;13;28
01.01.2017;8;5,5;12;61
02.01.2017;3;1,625;8;0
03.01.2017;7;6;16;61
04.01.2017;4;4;19;20
05.01.2017;4;-2,875;15;0
06.01.2017;1;-4,25;6;NULL
07.01.2017;8;-0,5;11;71
08.01.2017;8;2,25;4;10
09.01.2017;8;2,5;6;20
10.01.2017;7;2,625;9;10
11.01.2017;7;4,625;15;61
12.01.2017;4;4,5;16;61
13.01.2017;3;3,125;7;61
14.01.2017;2;1,75;10;61
15.01.2017;5;1,375;10;71
16.01.2017;0;0,25;9;0
17.01.2017;7;0,5;4;10
18.01.2017;7;0,125;8;20
19.01.2017;8;1,5;8;61
20.01.2017;8;3,625;5;21
21.01.2017;7;5,75;5;10
22.01.2017;8;1,375;5;10
23.01.2017;7;1,125;8;10
24.01.2017;7;1,875;8;45
25.01.2017;7;-1,25;6;49
26.01.2017;6;1;7;10
27.01.2017;0;2,142857;7;5
28.01.2017;1;2,875;5;5
29.01.2017;7;4,75;8;61
30.01.2017;7;2,625;13;61
31.01.2017;7;3,125;15;10
01.02.2017;7;1,125;8;20
02.02.2017;7;1,75;6;61
03.02.2017;7;1,625;6;45
04.02.2017;7;5,75;6;61
05.02.2017;8;2;10;61
06.02.2017;7;2,5;12;61
07.02.2017;7;0;12;77
08.02.2017;8;-2;8;77
09.02.2017;8;-2,125;11;22
10.02.2017;7;-1,75;16;10
11.02.2017;7;0;17;0
12.02.2017;8;0,375;17;10
13.02.2017;0;-0,25;10;10
14.02.2017;2;-0,75;8;49
15.02.2017;0;5,875;4;5
16.02.2017;7;6,25;10;61
17.02.2017;7;6;9;61
18.02.2017;7;4,625;12;20
19.02.2017;7;5,625;8;61
20.02.2017;7;8;16;61
21.02.2017;6;7,625;18;NULL
22.02.2017;6;7,375;20;61
23.02.2017;7;4,375;22;63
24.02.2017;1;4,125;15;21
25.02.2017;7;3,375;12;61
26.02.2017;7;7,5;11;61
27.02.2017;8;10,75;11;NULL
28.02.2017;6;6;15;21
01.03.2017;6;5;14;63
02.03.2017;3;6,5;16;21
03.03.2017;2;8,375;10;0
04.03.2017;6;9,125;5;5
05.03.2017;7;7,375;12;61
06.03.2017;8;3,75;17;0
07.03.2017;7;1,75;7;20
08.03.2017;6;5,75;9;61
09.03.2017;7;7,375;8;21
10.03.2017;4;8,75;16;0
11.03.2017;2;7,75;9;0
12.03.2017;6;6,375;9;NULL
13.03.2017;7;6,625;7;5
14.03.2017;6;10,5;13;0
15.03.2017;0;9,25;16;5
16.03.2017;5;11,75;9;NULL
17.03.2017;6;6,75;18;63
